Country Name,Year,Indicator Name,Value
Estonia,2016,Researchers in R&D (per million people),3296.372559
Estonia,2015,Researchers in R&D (per million people),3188.491943
Estonia,2014,Researchers in R&D (per million people),3285.593506
Estonia,2013,Researchers in R&D (per million people),3338.395996
Estonia,2012,Researchers in R&D (per million people),3457.755615
Estonia,2011,Researchers in R&D (per million people),3392.805908
Estonia,2010,Researchers in R&D (per million people),3057.782959
Estonia,2009,Researchers in R&D (per million people),3229.675293
Estonia,2008,Researchers in R&D (per million people),2972.930664
Estonia,2007,Researchers in R&D (per million people),2747.582031
Estonia,2006,Researchers in R&D (per million people),2600.75415
Estonia,2005,Researchers in R&D (per million people),2451.187744
Estonia,2004,Researchers in R&D (per million people),2465.568848
Estonia,2003,Researchers in R&D (per million people),2193.733398
Estonia,2002,Researchers in R&D (per million people),2210.916748
Estonia,2001,Researchers in R&D (per million people),1924.963013
Estonia,2000,Researchers in R&D (per million people),1902.600586
Estonia,1999,Researchers in R&D (per million people),2135.26416
Estonia,1998,Researchers in R&D (per million people),2102.379883
Estonia,2016,Technicians in R&D (per million people),710.21109
Estonia,2015,Technicians in R&D (per million people),675.11832
Estonia,2014,Technicians in R&D (per million people),676.14947
Estonia,2013,Technicians in R&D (per million people),802.08512
Estonia,2012,Technicians in R&D (per million people),708.90951
Estonia,2011,Technicians in R&D (per million people),662.04266
Estonia,2010,Technicians in R&D (per million people),680.8793
Estonia,2009,Technicians in R&D (per million people),625.68528
Estonia,2008,Technicians in R&D (per million people),617.87679
Estonia,2007,Technicians in R&D (per million people),598.82645
Estonia,2006,Technicians in R&D (per million people),575.08617
Estonia,2005,Technicians in R&D (per million people),418.25017
Estonia,2004,Technicians in R&D (per million people),479.6251
Estonia,2003,Technicians in R&D (per million people),417.36197
Estonia,2002,Technicians in R&D (per million people),378.95991
Estonia,2001,Technicians in R&D (per million people),339.14624
Estonia,2000,Technicians in R&D (per million people),378.8117
Estonia,1999,Technicians in R&D (per million people),534.26833
Estonia,1998,Technicians in R&D (per million people),538.98428